"act","section_number","section_title","text","keywords","document_types_applicable","document_types_applicable__-"
"The Insolvency And Bankruptcy Code, 2016","Preamble","Preamble","An Act to consolidate and amend the laws relating to reorganisation and insolvency resolution of corporate persons, partnership firms and individuals in a time bound manner for maximisation of value of assets of such persons, to promote entrepreneurship, availability of credit and balance the interests of all the stakeholders including alteration in the order of priority of payment of Government dues and to establish an Insolvency and Bankruptcy Board of India, and for matters connected therewith or incidental thereto. BE it enacted by Parliament in the Sixty-seventh Year of the Republic of India as follows: —","act","","act"
"","","","","amendment","",""
"","","","","asset maximisation","",""
"","","","","consolidation","",""
"","","","","corporate insolvency resolution process","",""
"","","","","corporate persons","",""
"","","","","credit","",""
"","","","","entrepreneurship","",""
"","","","","government dues","",""
"","","","","individuals","",""
"","","","","insolvency","",""
"","","","","Insolvency and Bankruptcy Board of India","",""
"","","","","insolvency resolution","",""
"","","","","partnership firms","",""
"","","","","preamble","",""
"","","","","reorganisation","",""
"","","","","resolution plan","",""
"","","","","stakeholders","",""
"The Insolvency And Bankruptcy Code, 2016","1","Short title, extent and commencement","(1) This Code may be called the Insolvency and Bankruptcy Code, 2016. (2) It extends to the whole of India: 1* * * * * (3) It shall come into force on such date2 as the Central Government may, by notification in the Official Gazette, appoint:","act","act",""
"","","","","applicability","notification",""
"","","","","Central Government","",""
"","","","","CIRP","",""
"","","","","commencement","",""
"","","","","corporate insolvency resolution process","",""
"","","","","extent","",""
"","","","","India","",""
"","","","","insolvency","",""
"","","","","notification","",""
"","","","","Official Gazette","",""
"","","","","resolution plan","",""
"","","","","short title","",""
"The Insolvency And Bankruptcy Code, 2016","68","Punishment for concealment of property","","CIRP","criminal_complaint",""
"","","","","concealment","court_order",""
"","","","","corporate insolvency resolution process","legal_notice",""
"","","","","insolvency","regulatory_filing",""
"","","","","offence","",""
"","","","","penalty","",""
"","","","","property","",""
"","","","","punishment","",""
"","","","","punishment for concealment of property","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","69","Punishment for transactions defrauding creditors","","CIRP","criminal_complaint",""
"","","","","corporate insolvency resolution process","court_order",""
"","","","","creditor","legal_notice",""
"","","","","defrauding creditors","regulatory_filing",""
"","","","","fraudulent transactions","",""
"","","","","insolvency","",""
"","","","","offence","",""
"","","","","penalty","",""
"","","","","punishment","",""
"","","","","punishment for transactions defrauding creditors","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","70","Punishment for misconduct in course of corporate insolvency resolution process","","CIRP","criminal_complaint",""
"","","","","corporate insolvency resolution process","court_order",""
"","","","","insolvency","legal_notice",""
"","","","","misconduct","regulatory_filing",""
"","","","","offence","",""
"","","","","penalty","",""
"","","","","punishment","",""
"","","","","punishment for misconduct in course of corporate insolvency resolution process","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","71","Punishment for falsification of books of corporate debtor","","books of accounts","criminal_complaint",""
"","","","","CIRP","court_order",""
"","","","","corporate debtor","legal_notice",""
"","","","","corporate insolvency resolution process","regulatory_filing",""
"","","","","debtor","",""
"","","","","falsification","",""
"","","","","insolvency","",""
"","","","","offence","",""
"","","","","penalty","",""
"","","","","punishment","",""
"","","","","punishment for falsification of books of corporate debtor","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","72","Punishment for wilful and material omissions from statements relating to affairs of corporate debtor","","CIRP","criminal_complaint",""
"","","","","corporate debtor","court_order",""
"","","","","corporate insolvency resolution process","legal_notice",""
"","","","","debtor","regulatory_filing",""
"","","","","false information","",""
"","","","","insolvency","",""
"","","","","material omissions","",""
"","","","","offence","",""
"","","","","penalty","",""
"","","","","punishment","",""
"","","","","punishment for wilful and material omissions from statements relating to affairs of corporate debtor","",""
"","","","","resolution plan","",""
"","","","","statements of affairs","",""
"","","","","wilful omissions","",""
"The Insolvency And Bankruptcy Code, 2016","73","Punishment for false representations to creditors","","CIRP","criminal_complaint",""
"","","","","corporate insolvency resolution process","court_order",""
"","","","","creditor","legal_notice",""
"","","","","false information","regulatory_filing",""
"","","","","false representations","",""
"","","","","insolvency","",""
"","","","","offence","",""
"","","","","penalty","",""
"","","","","punishment","",""
"","","","","punishment for false representations to creditors","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","74","Punishment for contravention of moratorium or the resolution plan","","CIRP","criminal_complaint",""
"","","","","contravention","court_order",""
"","","","","corporate insolvency resolution process","legal_notice",""
"","","","","court_order","regulatory_filing",""
"","","","","insolvency","",""
"","","","","moratorium","",""
"","","","","offence","",""
"","","","","penalty","",""
"","","","","punishment","",""
"","","","","punishment for contravention of moratorium or the resolution plan","",""
"","","","","resolution plan","",""
